IdProdotto,Nome,Descrizione,Prezzo,Quantita,NumCategorie
113,"Gilet Armani","Gilet Armani colore blu",129,10,1
115,"Vestito Armani","Vestito Armani da cerimonia colore blu",159,15,1
117,"T-shirt nike","T-shirt nike colore blu",15,15,1
119,"Grand Theft Auto V","L'acclamatissimo gioco a esplorazione libera di Rockstar Games, Grand Theft Auto V, Ã¨ ora disponibile per PlayStation 4.",55,15,1
121,"Uncharted 4","Accompagna Nathan Drake in una pericolosa caccia a ricchezze nascoste in quest'avventura per PlayStation 4.",55,15,1
122,"Valentino Rossi The Game","L'edizione 2016 del videogioco ufficiale della MotoGP si veste di Giallo e incorpora, oltre a tutti gli elementi classici che ne hanno contraddistinto la serie in questi anni e la stagione 2016 del campionato MotoGP, tante novitÃ  dedicate al 9 volte campione del Mondo Valentino Rossi.",44,20,1
123,"Fiato 500","Fiat 500 colore bianco",15999,10,1
124,Mercedes,"Mercedes colore bianco",35999,10,1
125,"BMW serie 3","BMW serie 3 colore grigio",39999,10,2
126,Orologio,"Materiale: specchio faccia,orologio in lega ",15,21,1
127,Candele,"Queste candele in cera sono assolutamente sorprendenti e creano la perfetta atmosfera negli spazi interni ed esterni. Il colore standard Ã¨ il giallo naturale.",10,30,1
128,Bilancia,"Delizia dello chef La bilancia digitale da cucina Smart Weigh CSB5KG Ã¨ la scelta perfetta per misurare gli ingredienti, che tu sia uno chef gourmet o che tu stia solo cucinando la cena a casa - questa bilancia renderÃ  questo compito facilissimo!",35,15,1
129,"The Platinum Collection","The Platinum Collection CD",14,16,1
130,MediaRange,"Colore:Nero, QtÃ  supporti in dotazione:50, VelocitÃ  max scrittura:52x, Tipo:CD-R, Tempo di registrazione:80min, CapacitÃ  dati nativi:700 MB, Tipo confezione:Mandrino",23,25,1
131,"Freak Out!","Freak Out! CD",25,15,1
132,Deadpool,"Attaccatevi ai vostri chimichangas, amici. Dallo studio che ha prodotto tutti e tre i film di Taken arriva Deadpool, il capolavoro di grandissimo successo e assolutamente unico nel suo genere basato sul fumetto piÃ¹ sexy e antieroe di sempre della Marvel: cioÃ¨ Io! Vai in profonditÃ  l'origine della...",23,20,1
133,"Perfetti sconosciuti","Warner Bros. Entertainment Dvd perfetti sconosciuti",22,23,1
134,"Il Caso Spotlight","Un team di giornalisti del Boston Globe conduce unâinchiesta che porta a una scioccante veritÃ : la complicitÃ  della Chiesa in una vasta gamma di casi di abusi su minori. Basato su fatti realmente accaduti.",43,23,1
135,"Borsa Handbag","fitTek Donna Borsa Handbag a Spalla Righe in PU Cuoio Beige Rosso con Ciondolo Cuore",89,65,1
136,"Fastyl Patroit","Fastyl 22,86 cm (9"") Patroit da uomo realizzata a mano, stile Vintage, in vera pelle, colore: marrone a tracolla a spalla borsetta, borsa a tracolla per Tablet Ipad",99,45,1
137,"Wenger Synergy Zaino","Wenger Synergy Zaino Portacomputer, Nero/Grigio",34,13,1
138,"Orologio Radio","DCF77 orologio radio con impostazione manuale. Visualizzazione dell'ora 12 / 24h. Impostazione del fuso orario (Â± 12 h). Data e giorno della settimana (7 lingue). Indicatore temperatura interna. Moon Phase display. Allarme con funzione snooze. Montaggio a parete o da tavolo in piedi.",23,43,1
139,"Asus X540SA-XX004T","Asus X540SA-XX004T Portatile, Display da 15.6 pollici HD LED, Processore Intel N3050, RAM 4GB, HDD da 500GB, Marrone/Nero",1199,24,1
141,"Miadomodo Lettino","Miadomodo Lettino da giardino 2 posti con schienale e tetto parasole colore a scelta (marrone)",199,10,1
142,"Tubo FloraSun","Tubo da giardino flessibile FloraSun con accessori, disponibile in diverse lunghezze, 7,5 m",25,11,1
147,"Tubo da giardino","Tubo da giardino 15 metri",12,25,1
148,"Ipad Air 2","Ipad Air 2 colore argento",399,15,1
